発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/14","09:30:42",3683562,0.59,0.00,37.00,5.00,1.47,1.47,52.1,41.5,54.9,0.0,0.0,3.2,35.53,,27.89,,,,,,,,,,,,2.32,4.98,4.87,11.877,35.02,36.83,0.00,0.00,,,8.76,,229.7,230.4,228.4,217.4,212.4,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:30:51",3683563,0.59,0.00,37.00,5.00,1.41,1.41,52.0,41.6,54.9,0.0,0.0,3.3,35.59,,27.37,,,,,,,,,,,,2.32,5.01,4.87,11.885,35.01,36.83,0.00,0.00,,,8.76,,230.0,230.4,228.6,217.6,212.5,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:00",3683564,0.59,0.00,37.00,5.00,1.43,1.43,52.0,41.6,54.9,0.0,0.0,3.2,35.57,,27.38,,,,,,,,,,,,2.34,4.96,4.91,11.940,35.03,36.82,0.00,0.00,,,8.76,,230.1,230.3,228.7,217.7,212.7,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:09",3683565,0.59,0.00,37.00,5.00,1.38,1.38,51.7,41.6,54.5,0.0,0.0,3.1,35.62,,27.12,,,,,,,,,,,,2.35,4.98,4.94,11.952,35.01,36.76,0.00,0.00,,,8.76,,230.1,230.3,228.8,217.8,212.8,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:17",3683566,0.59,0.00,37.00,5.00,1.44,1.44,52.0,41.6,54.9,0.0,0.0,3.1,35.56,,27.48,,,,,,,,,,,,2.36,4.92,4.97,11.988,35.03,36.80,0.00,0.00,,,8.76,,230.1,230.2,228.9,217.9,213.0,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:26",3683567,0.59,0.00,37.00,5.00,1.45,1.45,52.0,41.6,54.9,0.0,0.0,3.1,35.55,,27.72,,,,,,,,,,,,2.36,4.99,4.96,11.967,35.02,36.78,0.00,0.00,,,8.76,,230.1,230.2,229.1,218.1,213.2,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:35",3683568,0.59,0.00,37.00,5.00,1.42,1.42,51.8,41.6,54.7,0.0,0.0,3.1,35.58,,27.09,,,,,,,,,,,,2.37,5.10,4.98,12.028,35.02,36.80,0.00,0.00,,,8.76,,230.1,230.2,229.2,218.3,213.5,39.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:44",3683569,0.59,0.00,37.00,5.00,1.41,1.41,51.8,41.6,54.7,0.0,0.0,3.1,35.59,,27.00,,,,,,,,,,,,2.37,4.97,5.00,12.036,35.01,36.80,0.00,0.00,,,8.76,,230.3,230.2,229.4,218.4,213.7,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:31:52",3683570,0.59,0.00,37.00,5.00,1.42,1.42,51.7,41.6,54.5,0.0,0.0,3.0,35.58,,27.46,,,,,,,,,,,,2.39,4.96,5.03,12.038,35.02,36.74,0.00,0.00,,,8.76,,230.2,230.1,229.5,218.5,213.9,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/14","09:32:01",3683571,0.59,0.00,37.00,5.00,1.41,1.41,51.6,41.6,54.5,0.0,0.0,3.0,35.59,,27.15,,,,,,,,,,,,2.38,4.97,5.01,12.089,35.01,36.80,0.00,0.00,,,8.76,,230.2,230.1,229.6,218.7,214.1,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
