発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/12","09:15:50",3675018,0.59,0.00,37.00,5.00,0.50,0.50,50.6,42.0,54.0,0.0,0.0,0.0,36.50,,21.51,,,,,,,,,,,,,,,,,,,,,,,,230.6,230.4,226.7,216.7,212.8,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:16:00",3675019,0.59,0.00,37.00,5.00,1.65,1.65,52.8,41.7,56.0,0.0,0.0,0.8,35.35,,27.15,,,,,,,,,,,,2.85,3.96,6.20,8.773,35.02,36.49,0.00,0.00,,,22.64,,230.4,230.3,226.9,216.7,212.8,38.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:16:09",3675020,0.59,0.00,37.00,5.00,1.74,1.74,51.8,41.7,55.1,0.0,0.0,1.9,35.26,,26.00,,,,,,,,,,,,2.57,5.25,5.50,9.225,35.02,36.67,0.00,0.00,,,8.91,,230.7,230.3,227.2,216.7,212.8,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:16:18",3675021,0.59,0.00,37.00,5.00,1.73,1.73,50.4,41.6,53.0,0.0,0.0,2.8,35.27,,23.57,,,,,,,,,,,,2.41,5.34,5.10,10.036,35.02,36.84,0.00,0.00,,,8.77,,230.6,230.3,227.4,216.8,212.8,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:16:27",3675022,0.59,0.00,37.00,5.00,1.82,1.82,50.8,41.7,53.4,0.0,0.0,3.2,35.18,,24.25,,,,,,,,,,,,2.32,5.32,4.88,11.002,35.02,36.88,0.00,0.00,,,8.77,,230.2,230.3,227.6,216.9,212.7,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:16:35",3675023,0.59,0.00,37.00,5.00,1.86,1.86,51.1,41.6,53.7,0.0,0.0,3.3,35.14,,24.69,,,,,,,,,,,,2.30,5.40,4.82,11.504,35.02,36.86,0.00,0.00,,,8.77,,230.2,230.3,227.9,217.0,212.6,38.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
