発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/12","09:18:38",3675037,0.59,0.00,37.00,5.00,1.93,1.93,51.8,41.7,54.5,0.0,0.0,2.9,35.07,,27.07,,,,,,,,,,,,2.37,5.50,5.00,11.845,35.01,36.74,0.00,0.00,,,8.76,,230.1,230.2,229.9,219.4,214.3,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:18:47",3675038,0.59,0.00,37.00,5.00,1.92,1.92,51.5,41.7,54.2,0.0,0.0,3.0,35.08,,26.88,,,,,,,,,,,,2.39,5.51,5.04,11.841,35.02,36.78,0.00,0.00,,,8.76,,230.0,230.2,230.1,219.6,214.6,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:18:56",3675039,0.59,0.00,37.00,5.00,1.87,1.87,51.6,41.7,54.4,0.0,0.0,3.0,35.13,,26.37,,,,,,,,,,,,2.39,5.49,5.04,11.847,35.01,36.74,0.00,0.00,,,8.76,,229.8,230.2,230.2,219.7,214.7,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:19:04",3675040,0.59,0.00,37.00,5.00,1.92,1.92,51.7,41.7,54.5,0.0,0.0,3.0,35.08,,26.98,,,,,,,,,,,,2.40,5.44,5.06,11.923,35.02,36.75,0.00,0.00,,,8.76,,229.8,230.2,230.2,219.9,214.8,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:19:13",3675041,0.59,0.00,37.00,5.00,1.95,1.95,51.7,41.7,54.6,0.0,0.0,3.0,35.05,,26.94,,,,,,,,,,,,2.40,5.49,5.05,11.827,35.01,36.76,0.00,0.00,,,8.76,,230.2,230.1,230.3,220.0,215.0,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:20:11",3675042,0.59,0.00,37.12,5.00,0.95,0.95,49.6,42.0,52.7,0.0,0.0,0.2,36.17,,22.19,,,,,,,,,,,,,,,,,,,,,,,,230.1,229.9,231.3,221.1,215.9,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:20:20",3675043,0.59,0.00,37.00,5.00,1.60,1.60,49.8,41.7,52.5,0.0,0.0,2.4,35.40,,23.61,,,,,,,,,,,,2.60,4.58,5.57,10.531,35.02,36.70,0.00,0.00,,,9.75,,230.3,229.8,231.4,221.3,216.2,39.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:20:29",3675044,0.59,0.00,37.00,5.00,1.54,1.54,49.4,41.7,52.1,0.0,0.0,2.5,35.46,,22.98,,,,,,,,,,,,2.44,5.23,5.16,10.871,35.02,36.72,0.00,0.00,,,8.76,,230.2,229.8,231.4,221.4,216.2,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:20:37",3675045,0.59,0.00,37.00,5.00,1.52,1.52,49.2,41.7,51.8,0.0,0.0,2.6,35.48,,22.51,,,,,,,,,,,,2.48,5.18,5.25,11.029,35.02,36.70,0.00,0.00,,,8.79,,230.1,229.8,231.4,221.6,216.3,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
"2022/12/12","09:20:46",3675046,0.59,0.00,37.00,5.00,1.54,1.54,49.5,41.7,52.1,0.0,0.0,2.5,35.46,,22.90,,,,,,,,,,,,2.48,5.15,5.27,11.181,35.01,36.70,0.00,0.00,,,8.79,,230.0,229.8,231.4,221.7,216.4,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1
