発生日,発生時刻,ショット数,射出充填時間[s],指定位置通過時間[s],射出開始位置[mm],V-P切換位置[mm],射出最前進位置[mm],射出終了位置[mm],V-P切換圧[MPa],射出最前進圧[MPa],射出ピーク圧[MPa],指定位置通過圧[MPa],区間平均射出圧[MPa],射出開始圧[MPa],射出ストローク[mm],,所定圧通過位置[mm],,,,,,,,,,,,可塑化時間[s],計量開始位置[mm],計量回転数,計量平均トルク[%],計量減速開始位置[mm],回転停止位置[mm],プレパック距離[mm],プレパック角度[°],,,サイクル時間[s],,ノズル[C],前部[C],中部[C],後部１[C],後部２[C],落下口[C],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ロットナンバー,ケース出来高,良否コード
"2022/12/14","13:15:13",3683845,0.59,0.00,37.00,5.00,1.60,1.60,52.3,41.6,55.2,0.0,0.0,3.4,35.40,,28.20,,,,,,,,,,,,2.44,5.17,5.16,11.797,35.01,36.70,0.00,0.00,,,8.74,,230.2,230.1,230.1,220.1,215.0,38.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:15:22",3683846,0.59,0.00,37.00,5.00,1.64,1.64,52.4,41.7,55.3,0.0,0.0,3.4,35.36,,28.54,,,,,,,,,,,,2.42,5.16,5.13,11.800,35.01,36.75,0.00,0.00,,,8.75,,230.2,230.1,230.1,220.1,215.1,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:15:31",3683847,0.59,0.00,37.00,5.00,1.61,1.61,52.5,41.6,55.4,0.0,0.0,3.4,35.39,,28.18,,,,,,,,,,,,2.43,5.19,5.14,11.778,35.02,36.71,0.00,0.00,,,8.74,,230.1,230.0,230.1,220.1,215.1,39.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:15:39",3683848,0.59,0.00,37.00,5.00,1.63,1.63,52.4,41.6,55.1,0.0,0.0,3.3,35.37,,28.61,,,,,,,,,,,,2.42,5.17,5.13,11.774,35.03,36.73,0.00,0.00,,,8.74,,229.8,230.0,230.1,220.1,215.1,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:15:48",3683849,0.59,0.00,37.00,5.00,1.64,1.64,52.5,41.6,55.4,0.0,0.0,3.4,35.36,,28.65,,,,,,,,,,,,2.44,5.18,5.17,11.788,35.02,36.70,0.00,0.00,,,8.74,,230.1,230.0,230.1,220.1,215.1,39.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:15:57",3683850,0.59,0.00,37.00,5.00,1.64,1.64,52.5,41.7,55.4,0.0,0.0,3.5,35.36,,28.36,,,,,,,,,,,,2.44,5.19,5.16,11.842,35.02,36.74,0.00,0.00,,,8.74,,229.9,230.0,230.1,220.1,215.1,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:06",3683851,0.59,0.00,37.00,5.00,1.64,1.64,52.4,41.6,55.4,0.0,0.0,3.4,35.36,,28.44,,,,,,,,,,,,2.42,5.19,5.13,11.836,35.01,36.74,0.00,0.00,,,8.74,,229.8,230.0,230.1,220.1,215.1,39.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:14",3683852,0.59,0.00,37.00,5.00,1.63,1.63,52.6,41.6,55.5,0.0,0.0,3.4,35.37,,28.31,,,,,,,,,,,,2.43,5.19,5.15,11.811,35.01,36.71,0.00,0.00,,,8.74,,229.8,230.0,230.0,220.1,215.1,39.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:23",3683853,0.59,0.00,37.00,5.00,1.63,1.63,52.5,41.6,55.4,0.0,0.0,3.4,35.37,,28.49,,,,,,,,,,,,2.43,5.18,5.14,11.900,35.01,36.72,0.00,0.00,,,8.74,,229.9,230.0,229.9,219.9,215.1,39.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:32",3683854,0.59,0.00,37.00,5.00,1.63,1.63,52.7,41.7,55.6,0.0,0.0,3.4,35.37,,28.24,,,,,,,,,,,,2.42,5.18,5.12,11.874,35.02,36.74,0.00,0.00,,,8.74,,230.1,230.1,230.0,219.9,215.1,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:41",3683855,0.59,0.00,37.00,5.00,1.59,1.59,52.3,41.6,55.0,0.0,0.0,3.3,35.41,,28.33,,,,,,,,,,,,2.43,5.18,5.15,11.864,35.01,36.70,0.00,0.00,,,8.75,,230.1,229.9,229.9,219.8,215.0,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:49",3683856,0.59,0.00,37.00,5.00,1.64,1.64,52.4,41.6,55.3,0.0,0.0,3.4,35.36,,28.41,,,,,,,,,,,,2.42,5.14,5.13,11.765,35.02,36.73,0.00,0.00,,,8.74,,230.2,230.1,230.0,219.9,215.1,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:16:58",3683857,0.59,0.00,37.00,5.00,1.61,1.61,52.4,41.6,55.3,0.0,0.0,3.4,35.39,,28.19,,,,,,,,,,,,2.43,5.19,5.15,11.776,35.02,36.70,0.00,0.00,,,8.74,,230.2,230.0,230.0,219.9,215.0,39.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:17:07",3683858,0.59,0.00,37.00,5.00,1.66,1.66,52.4,41.6,55.3,0.0,0.0,3.5,35.34,,28.66,,,,,,,,,,,,2.43,5.17,5.14,11.867,35.02,36.76,0.00,0.00,,,8.74,,230.3,230.0,229.9,219.9,214.9,39.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
"2022/12/14","13:17:16",3683859,0.59,0.00,37.00,5.00,1.60,1.60,52.4,41.6,55.3,0.0,0.0,3.3,35.40,,28.16,,,,,,,,,,,,2.43,5.22,5.15,11.828,35.02,36.70,0.00,0.00,,,8.74,,230.2,230.0,230.0,219.9,215.0,38.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
